id,C,Si,Mn,P,Ni,Cr,Mo,S,CR,TT,YS,UTS,EL,label1,label2,label3
0,0.32,0.23,1.28,0.028,0.85,0.46,0.16,0.034,38,580,934,1019,18,0,9,5
1,0.32,0.23,1.28,0.028,0.85,0.46,0.16,0.034,16,620,736,845,22,0,6,7
2,0.33,0.19,1.45,0.026,0.89,0.56,0.12,0.02,16,605,785,888,21,0,6,7
3,0.33,0.19,1.45,0.026,0.89,0.56,0.12,0.02,7,625,693,824,21.5,0,1,8
4,0.35,0.19,1.5,0.026,0.93,0.57,0.18,0.02,7,650,681,839,21.5,0,1,10
5,0.35,0.19,1.5,0.026,0.93,0.57,0.18,0.02,3,650,730,870,24,0,0,10
6,0.35,0.19,1.33,0.026,0.91,0.43,0.15,0.02,3,550,683,850,21,0,0,3
7,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,450,1163,1222,15,1,9,1
8,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,500,1069,1131,18.5,1,9,2
9,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,550,906,993,19,1,9,3
10,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,600,786,906,24,1,9,6
11,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,650,718,821,25.5,1,9,10
12,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,675,692,763,27,1,9,12
13,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,38,700,575,753,27.5,1,9,13
14,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,12,450,727,888,21,1,4,1
15,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,12,500,645,821,24,1,4,2
16,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,12,550,622,783,26,1,4,3
17,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,12,600,579,757,27,1,4,6
18,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,12,625,582,737,27.5,1,4,8
19,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,7,500,639,800,23,1,1,2
20,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,7,550,614,777,25,1,1,3
21,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,7,600,623,777,24,1,1,6
22,0.35,0.25,0.33,0.032,0.91,0.43,0.15,0.041,7,625,543,707,27,1,1,8
